Flight_ID,Date,Month,Day_of_Week,Departure_City,Arrival_City,Route_Type,Aircraft_Type,Flight_Duration_Minutes,Passengers,Seat_Capacity,Load_Factor_%,Ticket_Price_USD,Revenue_USD,Delay_Minutes,,Delay_Category,On_Time_Status,Weather_Condition,Fuel_Consumption_Liters,CO2_Emissions_kg,Customer_Rating,Customer_Feedback
PK2026_0012,13-02-2026,February,Friday,Lahore,Kuala Lumpur,International,Airbus A320,190,117,180,65,800,93600,10,,Minor,On Time,Fog,13855,34637.5,4.8,Good experience
PK2026_0013,27-02-2026,February,Friday,Jeddah,Islamabad,International,Boeing 737,280,128,160,80,899,115072,36,,Moderate,Delayed,Fog,17847,44617.5,3.1,Average flight
PK2026_0014,23-11-2026,November,Monday,Doha,London,International,Boeing 737,366,102,160,63.75,548,55896,103,,Moderate,Delayed,Storm,14834,37085,4.7,Delayed but comfortable
PK2026_0015,08-12-2026,December,Tuesday,Doha,Karachi,International,Boeing 737,81,90,160,56.25,1420,127800,95,,Moderate,Delayed,Storm,7107,17767.5,5,Delayed but comfortable
PK2026_0016,16-08-2026,August,Sunday,Karachi,Lahore,Domestic,Airbus A320,347,95,180,52.78,1214,115330,126,,Severe,Delayed,Fog,12669,31672.5,3.2,Good experience
PK2026_0017,06-09-2026,September,Sunday,Kuala Lumpur,Karachi,International,ATR 72,326,68,70,97.14,271,18428,180,,Severe,Delayed,Fog,19892,49730,5,Poor service
PK2026_0018,20-11-2026,November,Friday,Doha,Lahore,International,Boeing 737,253,159,160,99.38,1190,189210,6,,Minor,On Time,Clear,12936,32340,4.3,Good experience
PK2026_0019,10-10-2026,October,Saturday,Karachi,Islamabad,Domestic,Boeing 777,261,255,350,72.86,344,87720,157,,Severe,Delayed,Fog,12766,31915,3.1,Delayed but comfortable
PK2026_0020,26-04-2026,April,Sunday,Kuala Lumpur,Lahore,International,Boeing 777,386,306,350,87.43,1308,400248,220,,Severe,Delayed,Fog,13419,33547.5,4.4,Very smooth journey
PK2026_0021,18-05-2026,May,Monday,Karachi,Jeddah,International,Boeing 737,348,94,160,58.75,965,90710,123,,Severe,Delayed,Clear,3190,7975,4.4,Good experience
PK2026_0022,18-12-2026,December,Friday,Kuala Lumpur,London,International,Airbus A320,270,113,180,62.78,669,75597,126,,Severe,Delayed,Clear,18990,47475,3.3,Very smooth journey
PK2026_0023,23-09-2026,September,Wednesday,Lahore,Karachi,Domestic,Boeing 777,220,286,350,81.71,1371,392106,151,,Severe,Delayed,Storm,6962,17405,3.8,Poor service
PK2026_0024,11-11-2026,November,Wednesday,Doha,Kuala Lumpur,International,Airbus A320,243,172,180,95.56,654,112488,42,,Moderate,Delayed,Rain,9877,24692.5,3.7,Poor service
PK2026_0025,30-07-2026,July,Thursday,Islamabad,London,International,Airbus A320,72,141,180,78.33,461,65001,213,,Severe,Delayed,Fog,19759,49397.5,3.7,Average flight
PK2026_0026,03-10-2026,October,Saturday,Dubai,Doha,International,Boeing 737,67,120,160,75,516,61920,225,,Severe,Delayed,Storm,6207,15517.5,3.4,Excellent service
PK2026_0027,04-01-2026,January,Sunday,Dubai,Karachi,International,ATR 72,470,45,70,64.29,210,9450,23,,Minor,Delayed,Clear,10155,25387.5,4.4,Poor service
PK2026_0028,03-08-2026,August,Monday,Jeddah,Islamabad,International,Boeing 777,127,326,350,93.14,1176,383376,75,,Moderate,Delayed,Storm,16290,40725,5,Delayed but comfortable
PK2026_0029,24-09-2026,September,Thursday,Doha,Kuala Lumpur,International,ATR 72,132,59,70,84.29,713,42067,185,,Severe,Delayed,Storm,19218,48045,3.7,Poor service
PK2026_0030,02-01-2026,January,Friday,Dubai,Kuala Lumpur,International,Airbus A320,173,175,180,97.22,665,116375,77,,Moderate,Delayed,Rain,16747,41867.5,4.8,Very smooth journey
PK2026_0031,23-08-2026,August,Sunday,Jeddah,Islamabad,International,Boeing 777,430,347,350,99.14,972,337284,164,,Severe,Delayed,Clear,16095,40237.5,3.4,Average flight
PK2026_0032,03-09-2026,September,Thursday,London,Jeddah,International,Airbus A320,222,160,180,88.89,1160,185600,7,,Minor,On Time,Fog,13512,33780,3.8,Very smooth journey
PK2026_0033,05-04-2026,April,Sunday,Dubai,Karachi,International,ATR 72,411,53,70,75.71,878,46534,197,,Severe,Delayed,Clear,17223,43057.5,3.6,Excellent service
PK2026_0034,21-02-2026,February,Saturday,London,Islamabad,International,Airbus A320,466,163,180,90.56,161,26243,231,,Severe,Delayed,Fog,12708,31770,3.7,Delayed but comfortable
PK2026_0035,11-01-2026,January,Sunday,Karachi,Lahore,Domestic,Boeing 777,170,308,350,88,1451,446908,200,,Severe,Delayed,Rain,10882,27205,4.1,Good experience
PK2026_0036,11-11-2026,November,Wednesday,Karachi,Kuala Lumpur,International,Boeing 737,478,156,160,97.5,1235,192660,102,,Moderate,Delayed,Rain,13405,33512.5,4.3,Good experience
PK2026_0037,23-05-2026,May,Saturday,Dubai,Lahore,International,Boeing 777,333,286,350,81.71,397,113542,72,,Moderate,Delayed,Storm,10105,25262.5,2.6,Poor service
PK2026_0038,31-08-2026,August,Monday,Lahore,Islamabad,Domestic,Boeing 777,309,235,350,67.14,314,73790,139,,Severe,Delayed,Storm,17259,43147.5,2.8,Good experience
PK2026_0039,27-05-2026,May,Wednesday,Kuala Lumpur,London,International,Boeing 737,265,99,160,61.88,1388,137412,114,,Moderate,Delayed,Rain,13624,34060,2.8,Very smooth journey
PK2026_0040,03-02-2026,February,Tuesday,Kuala Lumpur,London,International,Boeing 777,272,311,350,88.86,1442,448462,67,,Moderate,Delayed,Fog,15011,37527.5,3.5,Good experience
PK2026_0041,24-12-2026,December,Thursday,London,Doha,International,Boeing 777,129,332,350,94.86,135,44820,94,,Moderate,Delayed,Clear,14965,37412.5,4.2,Excellent service
PK2026_0042,16-11-2026,November,Monday,Dubai,Kuala Lumpur,International,ATR 72,126,64,70,91.43,796,50944,148,,Severe,Delayed,Fog,8312,20780,4,Excellent service
PK2026_0043,22-03-2026,March,Sunday,Jeddah,Islamabad,International,Boeing 737,473,96,160,60,760,72960,223,,Severe,Delayed,Storm,11594,28985,3.8,Good experience
PK2026_0044,01-01-2026,January,Thursday,Dubai,Kuala Lumpur,International,ATR 72,342,45,70,64.29,335,15075,51,,Moderate,Delayed,Rain,15854,39635,4.1,Very smooth journey
PK2026_0045,26-03-2026,March,Thursday,Doha,Dubai,International,Airbus A320,237,148,180,82.22,1118,165464,15,,Minor,On Time,Storm,11601,29002.5,4,Delayed but comfortable
PK2026_0046,22-01-2026,January,Thursday,Karachi,Islamabad,Domestic,Boeing 777,378,195,350,55.71,1269,247455,29,,Minor,Delayed,Rain,19985,49962.5,2.6,Average flight
PK2026_0047,02-05-2026,May,Saturday,Doha,Lahore,International,Airbus A320,411,107,180,59.44,853,91271,69,,Moderate,Delayed,Fog,17209,43022.5,3,Excellent service
PK2026_0048,05-07-2026,July,Sunday,Islamabad,London,International,Boeing 777,433,290,350,82.86,638,185020,13,,Minor,On Time,Clear,19154,47885,2.8,Poor service
PK2026_0049,25-05-2026,May,Monday,Karachi,Doha,International,Boeing 777,224,271,350,77.43,1301,352571,89,,Moderate,Delayed,Storm,4276,10690,3.4,Poor service
PK2026_0050,23-08-2026,August,Sunday,Lahore,Jeddah,International,Boeing 777,366,234,350,66.86,817,191178,113,,Moderate,Delayed,Storm,16271,40677.5,3.5,Poor service
PK2026_0051,24-05-2026,May,Sunday,Doha,Kuala Lumpur,International,ATR 72,393,59,70,84.29,1056,62304,86,,Moderate,Delayed,Fog,4175,10437.5,3.7,Excellent service
PK2026_0052,10-11-2026,November,Tuesday,Dubai,London,International,Boeing 737,221,99,160,61.88,1498,148302,114,,Moderate,Delayed,Storm,15688,39220,3.3,Excellent service
PK2026_0053,03-05-2026,May,Sunday,Islamabad,Lahore,Domestic,ATR 72,435,55,70,78.57,983,54065,117,,Moderate,Delayed,Storm,5332,13330,3,Very smooth journey
PK2026_0054,14-03-2026,March,Saturday,London,Doha,International,Boeing 777,354,258,350,73.71,717,184986,71,,Moderate,Delayed,Clear,9280,23200,2.7,Excellent service
PK2026_0055,14-04-2026,April,Tuesday,Dubai,Jeddah,International,Airbus A320,480,115,180,63.89,907,104305,193,,Severe,Delayed,Fog,14154,35385,2.6,Delayed but comfortable
PK2026_0056,10-10-2026,October,Saturday,Dubai,Lahore,International,Boeing 737,428,96,160,60,970,93120,127,,Severe,Delayed,Storm,18417,46042.5,3.6,Delayed but comfortable
PK2026_0057,27-02-2026,February,Friday,Karachi,Jeddah,International,Boeing 777,124,282,350,80.57,1407,396774,154,,Severe,Delayed,Fog,15696,39240,4.9,Poor service
PK2026_0058,12-12-2026,December,Saturday,Jeddah,Kuala Lumpur,International,ATR 72,476,55,70,78.57,532,29260,10,,Minor,On Time,Rain,15660,39150,4,Good experience
PK2026_0059,01-06-2026,June,Monday,Kuala Lumpur,Lahore,International,Boeing 737,255,89,160,55.62,136,12104,200,,Severe,Delayed,Clear,8002,20005,4.2,Poor service
PK2026_0060,02-03-2026,March,Monday,Lahore,Doha,International,Boeing 737,151,96,160,60,232,22272,144,,Severe,Delayed,Fog,10223,25557.5,4.1,Average flight
PK2026_0061,20-09-2026,September,Sunday,London,Islamabad,International,ATR 72,465,59,70,84.29,1212,71508,18,,Minor,Delayed,Storm,6385,15962.5,3.6,Poor service
PK2026_0062,05-02-2026,February,Thursday,Kuala Lumpur,Lahore,International,Boeing 777,437,178,350,50.86,905,161090,9,,Minor,On Time,Fog,18387,45967.5,3.8,Average flight
PK2026_0063,17-02-2026,February,Tuesday,Islamabad,London,International,Boeing 737,344,154,160,96.25,177,27258,230,,Severe,Delayed,Clear,16043,40107.5,3,Delayed but comfortable
PK2026_0064,04-12-2026,December,Friday,Doha,Islamabad,International,ATR 72,90,58,70,82.86,148,8584,228,,Severe,Delayed,Rain,3116,7790,4.6,Average flight
PK2026_0065,27-04-2026,April,Monday,Karachi,Dubai,International,Airbus A320,388,118,180,65.56,901,106318,188,,Severe,Delayed,Fog,13636,34090,4.2,Very smooth journey
PK2026_0066,22-09-2026,September,Tuesday,Kuala Lumpur,Islamabad,International,Boeing 777,119,182,350,52,618,112476,46,,Moderate,Delayed,Clear,18017,45042.5,3.2,Good experience
PK2026_0067,21-08-2026,August,Friday,Doha,Islamabad,International,Boeing 777,112,179,350,51.14,619,110801,54,,Moderate,Delayed,Rain,15522,38805,3.2,Average flight
PK2026_0068,26-02-2026,February,Thursday,Lahore,Doha,International,Boeing 777,85,225,350,64.29,959,215775,130,,Severe,Delayed,Clear,14772,36930,3.8,Poor service
PK2026_0069,21-06-2026,June,Sunday,London,Dubai,International,Boeing 777,76,278,350,79.43,829,230462,189,,Severe,Delayed,Clear,12013,30032.5,4.2,Average flight
PK2026_0070,03-02-2026,February,Tuesday,London,Jeddah,International,Boeing 737,112,83,160,51.88,741,61503,50,,Moderate,Delayed,Storm,19635,49087.5,4.4,Good experience
PK2026_0071,03-03-2026,March,Tuesday,Karachi,Dubai,International,Boeing 777,440,324,350,92.57,375,121500,52,,Moderate,Delayed,Clear,8165,20412.5,3.4,Good experience
PK2026_0072,09-01-2026,January,Friday,Lahore,Dubai,International,Airbus A320,473,166,180,92.22,366,60756,5,,Minor,On Time,Clear,11939,29847.5,4.3,Good experience
PK2026_0073,27-07-2026,July,Monday,Jeddah,Kuala Lumpur,International,Boeing 777,419,222,350,63.43,803,178266,18,,Minor,Delayed,Storm,19865,49662.5,4.8,Excellent service
PK2026_0074,02-04-2026,April,Thursday,Kuala Lumpur,Doha,International,ATR 72,263,66,70,94.29,1229,81114,160,,Severe,Delayed,Clear,19524,48810,3.3,Excellent service
PK2026_0075,03-03-2026,March,Tuesday,Karachi,Lahore,Domestic,Airbus A320,440,100,180,55.56,1395,139500,51,,Moderate,Delayed,Clear,10934,27335,3.6,Poor service
PK2026_0076,08-08-2026,August,Saturday,Jeddah,Doha,International,Boeing 777,190,254,350,72.57,979,248666,133,,Severe,Delayed,Fog,5987,14967.5,4.3,Poor service
PK2026_0077,03-10-2026,October,Saturday,Jeddah,Lahore,International,Boeing 777,302,280,350,80,387,108360,67,,Moderate,Delayed,Storm,12618,31545,4,Very smooth journey
PK2026_0078,27-04-2026,April,Monday,Jeddah,Islamabad,International,Boeing 777,308,236,350,67.43,666,157176,46,,Moderate,Delayed,Rain,19704,49260,3.3,Average flight
PK2026_0079,03-10-2026,October,Saturday,Lahore,Doha,International,Airbus A320,125,105,180,58.33,593,62265,171,,Severe,Delayed,Storm,7255,18137.5,3.7,Delayed but comfortable
PK2026_0080,23-09-2026,September,Wednesday,Jeddah,Dubai,International,Boeing 777,114,243,350,69.43,512,124416,186,,Severe,Delayed,Rain,9724,24310,4.6,Average flight
PK2026_0081,22-01-2026,January,Thursday,London,Doha,International,Boeing 737,114,129,160,80.62,1211,156219,45,,Moderate,Delayed,Rain,19042,47605,3.9,Good experience
PK2026_0082,24-06-2026,June,Wednesday,Jeddah,Kuala Lumpur,International,Boeing 737,312,148,160,92.5,180,26640,183,,Severe,Delayed,Storm,12571,31427.5,4.5,Excellent service
PK2026_0083,17-03-2026,March,Tuesday,Jeddah,Doha,International,Airbus A320,279,177,180,98.33,755,133635,172,,Severe,Delayed,Rain,13028,32570,2.8,Average flight
PK2026_0084,28-02-2026,February,Saturday,Lahore,Dubai,International,ATR 72,283,38,70,54.29,1496,56848,49,,Moderate,Delayed,Fog,18081,45202.5,3.9,Poor service
PK2026_0085,20-09-2026,September,Sunday,Jeddah,Dubai,International,ATR 72,177,40,70,57.14,724,28960,19,,Minor,Delayed,Rain,17821,44552.5,4.3,Very smooth journey
PK2026_0086,29-04-2026,April,Wednesday,Dubai,Karachi,International,Airbus A320,94,92,180,51.11,667,61364,9,,Minor,On Time,Fog,6636,16590,3.8,Poor service
PK2026_0087,16-08-2026,August,Sunday,Islamabad,Jeddah,International,ATR 72,458,55,70,78.57,185,10175,59,,Moderate,Delayed,Fog,4141,10352.5,4.3,Average flight
PK2026_0088,03-10-2026,October,Saturday,Islamabad,London,International,Boeing 777,402,306,350,87.43,970,296820,230,,Severe,Delayed,Fog,3986,9965,3.3,Poor service
PK2026_0089,24-12-2026,December,Thursday,Lahore,Islamabad,Domestic,Airbus A320,129,125,180,69.44,1369,171125,130,,Severe,Delayed,Storm,8531,21327.5,3.7,Delayed but comfortable
PK2026_0090,26-05-2026,May,Tuesday,Lahore,London,International,Boeing 737,397,149,160,93.12,388,57812,51,,Moderate,Delayed,Fog,5857,14642.5,3,Delayed but comfortable
PK2026_0091,03-08-2026,August,Monday,Doha,London,International,Airbus A320,332,178,180,98.89,1213,215914,57,,Moderate,Delayed,Storm,5041,12602.5,3.8,Very smooth journey
PK2026_0092,08-11-2026,November,Sunday,Dubai,Islamabad,International,Boeing 737,315,133,160,83.12,291,38703,117,,Moderate,Delayed,Clear,18966,47415,3,Very smooth journey
PK2026_0093,16-09-2026,September,Wednesday,Dubai,Doha,International,Boeing 737,383,105,160,65.62,1358,142590,153,,Severe,Delayed,Storm,18388,45970,3.2,Poor service
PK2026_0094,16-09-2026,September,Wednesday,Doha,London,International,Boeing 737,449,142,160,88.75,902,128084,41,,Moderate,Delayed,Clear,6738,16845,2.6,Poor service
PK2026_0095,17-07-2026,July,Friday,London,Islamabad,International,Boeing 777,368,191,350,54.57,405,77355,71,,Moderate,Delayed,Clear,18117,45292.5,4.4,Delayed but comfortable
PK2026_0096,29-09-2026,September,Tuesday,Doha,Jeddah,International,ATR 72,268,67,70,95.71,1244,83348,182,,Severe,Delayed,Clear,4835,12087.5,4.3,Average flight
PK2026_0097,04-06-2026,June,Thursday,Jeddah,Dubai,International,Boeing 777,351,187,350,53.43,391,73117,170,,Severe,Delayed,Storm,7737,19342.5,3.9,Delayed but comfortable
PK2026_0098,13-12-2026,December,Sunday,London,Islamabad,International,Airbus A320,97,172,180,95.56,1493,256796,180,,Severe,Delayed,Fog,19606,49015,3,Excellent service
PK2026_0099,01-06-2026,June,Monday,Dubai,Lahore,International,Boeing 737,97,127,160,79.38,291,36957,95,,Moderate,Delayed,Rain,5169,12922.5,4.9,Poor service
PK2026_0100,27-11-2026,November,Friday,London,Islamabad,International,ATR 72,422,45,70,64.29,122,5490,172,,Severe,Delayed,Clear,16514,41285,3.8,Delayed but comfortable
PK2026_0101,09-10-2026,October,Friday,Jeddah,Karachi,International,Boeing 737,160,122,160,76.25,686,83692,235,,Severe,Delayed,Fog,16225,40562.5,4.3,Delayed but comfortable
PK2026_0102,18-07-2026,July,Saturday,Dubai,London,International,Boeing 737,460,156,160,97.5,1283,200148,148,,Severe,Delayed,Clear,6830,17075,2.9,Poor service
PK2026_0103,11-12-2026,December,Friday,Lahore,Dubai,International,Airbus A320,77,168,180,93.33,705,118440,89,,Moderate,Delayed,Rain,7828,19570,3.1,Delayed but comfortable
PK2026_0104,06-03-2026,March,Friday,Doha,Karachi,International,Airbus A320,324,172,180,95.56,601,103372,94,,Moderate,Delayed,Fog,17024,42560,3.8,Very smooth journey
PK2026_0105,04-09-2026,September,Friday,Kuala Lumpur,Islamabad,International,Boeing 777,216,300,350,85.71,875,262500,208,,Severe,Delayed,Storm,9027,22567.5,4.5,Good experience
PK2026_0106,31-03-2026,March,Tuesday,Karachi,Dubai,International,Boeing 737,252,155,160,96.88,632,97960,17,,Minor,Delayed,Rain,13163,32907.5,3.5,Good experience
PK2026_0107,22-02-2026,February,Sunday,Lahore,Karachi,Domestic,Airbus A320,257,123,180,68.33,1469,180687,172,,Severe,Delayed,Storm,8103,20257.5,4.7,Very smooth journey
PK2026_0108,30-12-2026,December,Wednesday,Jeddah,Islamabad,International,Boeing 737,381,144,160,90,1422,204768,130,,Severe,Delayed,Clear,15839,39597.5,2.5,Very smooth journey
PK2026_0109,02-11-2026,November,Monday,Karachi,Lahore,Domestic,Airbus A320,157,171,180,95,1259,215289,9,,Minor,On Time,Fog,8442,21105,4.6,Average flight
PK2026_0110,29-11-2026,November,Sunday,Lahore,Dubai,International,Airbus A320,397,124,180,68.89,1059,131316,101,,Moderate,Delayed,Storm,7866,19665,4.3,Very smooth journey
PK2026_0111,30-01-2026,January,Friday,Islamabad,Kuala Lumpur,International,Boeing 737,222,154,160,96.25,1389,213906,7,,Minor,On Time,Fog,19808,49520,4.8,Poor service
PK2026_0112,08-09-2026,September,Tuesday,London,Karachi,International,Boeing 737,235,139,160,86.88,1355,188345,123,,Severe,Delayed,Clear,16097,40242.5,4.6,Delayed but comfortable
PK2026_0113,25-04-2026,April,Saturday,Islamabad,Kuala Lumpur,International,ATR 72,96,42,70,60,215,9030,106,,Moderate,Delayed,Clear,6773,16932.5,4,Excellent service
PK2026_0114,30-03-2026,March,Monday,Islamabad,Jeddah,International,Boeing 777,229,285,350,81.43,209,59565,107,,Moderate,Delayed,Clear,15430,38575,3,Average flight
PK2026_0115,17-04-2026,April,Friday,Doha,Lahore,International,Airbus A320,88,110,180,61.11,413,45430,9,,Minor,On Time,Clear,10156,25390,4.9,Good experience
PK2026_0116,11-01-2026,January,Sunday,Lahore,Islamabad,Domestic,ATR 72,412,49,70,70,1258,61642,140,,Severe,Delayed,Clear,8197,20492.5,4.5,Poor service
PK2026_0117,08-05-2026,May,Friday,Kuala Lumpur,Doha,International,Boeing 777,279,207,350,59.14,1043,215901,34,,Moderate,Delayed,Storm,12680,31700,4,Poor service
PK2026_0118,08-08-2026,August,Saturday,Dubai,Kuala Lumpur,International,Airbus A320,188,164,180,91.11,138,22632,144,,Severe,Delayed,Rain,16064,40160,4.4,Good experience
PK2026_0119,09-07-2026,July,Thursday,Jeddah,Doha,International,ATR 72,350,41,70,58.57,388,15908,181,,Severe,Delayed,Storm,7560,18900,3.6,Excellent service
PK2026_0120,18-06-2026,June,Thursday,Lahore,Jeddah,International,Boeing 737,98,100,160,62.5,1223,122300,37,,Moderate,Delayed,Fog,11616,29040,2.8,Poor service
PK2026_0121,24-04-2026,April,Friday,Doha,Jeddah,International,Boeing 737,103,146,160,91.25,807,117822,214,,Severe,Delayed,Clear,15450,38625,4.4,Good experience
PK2026_0122,25-05-2026,May,Monday,Islamabad,London,International,Boeing 737,282,90,160,56.25,1130,101700,173,,Severe,Delayed,Rain,4235,10587.5,3.4,Delayed but comfortable
PK2026_0123,19-03-2026,March,Thursday,Jeddah,London,International,Boeing 777,416,346,350,98.86,762,263652,85,,Moderate,Delayed,Rain,8977,22442.5,2.9,Good experience
PK2026_0124,14-11-2026,November,Saturday,Karachi,Lahore,Domestic,Boeing 737,320,145,160,90.62,739,107155,174,,Severe,Delayed,Clear,4140,10350,2.6,Poor service
PK2026_0125,08-05-2026,May,Friday,Jeddah,London,International,ATR 72,195,61,70,87.14,1412,86132,100,,Moderate,Delayed,Fog,14965,37412.5,2.9,Good experience
PK2026_0126,05-07-2026,July,Sunday,Islamabad,Lahore,Domestic,Boeing 737,209,114,160,71.25,956,108984,209,,Severe,Delayed,Clear,10246,25615,3,Poor service
PK2026_0127,26-07-2026,July,Sunday,Dubai,Karachi,International,ATR 72,479,53,70,75.71,1173,62169,116,,Moderate,Delayed,Fog,10889,27222.5,4.5,Poor service
PK2026_0128,16-02-2026,February,Monday,Islamabad,Karachi,Domestic,ATR 72,280,54,70,77.14,491,26514,106,,Moderate,Delayed,Storm,16322,40805,3.3,Excellent service
PK2026_0129,04-12-2026,December,Friday,Kuala Lumpur,Doha,International,Airbus A320,143,140,180,77.78,788,110320,7,,Minor,On Time,Storm,7427,18567.5,4.1,Average flight
PK2026_0130,11-12-2026,December,Friday,Doha,Dubai,International,Airbus A320,224,152,180,84.44,820,124640,193,,Severe,Delayed,Rain,11317,28292.5,3.6,Delayed but comfortable
PK2026_0131,25-03-2026,March,Wednesday,Jeddah,Doha,International,Airbus A320,317,150,180,83.33,1070,160500,83,,Moderate,Delayed,Storm,4053,10132.5,3.6,Delayed but comfortable
PK2026_0132,18-08-2026,August,Tuesday,Islamabad,Jeddah,International,ATR 72,87,37,70,52.86,1383,51171,18,,Minor,Delayed,Fog,9930,24825,3.6,Delayed but comfortable
PK2026_0133,23-09-2026,September,Wednesday,Islamabad,Doha,International,Airbus A320,318,174,180,96.67,400,69600,10,,Minor,On Time,Clear,5191,12977.5,3.4,Very smooth journey
PK2026_0134,05-09-2026,September,Saturday,Kuala Lumpur,Jeddah,International,Airbus A320,188,147,180,81.67,1250,183750,191,,Severe,Delayed,Clear,4987,12467.5,2.9,Very smooth journey
PK2026_0135,09-11-2026,November,Monday,Islamabad,London,International,Boeing 777,473,316,350,90.29,835,263860,237,,Severe,Delayed,Clear,3502,8755,3.4,Average flight
PK2026_0136,05-11-2026,November,Thursday,Karachi,Jeddah,International,Boeing 737,246,99,160,61.88,455,45045,134,,Severe,Delayed,Rain,8070,20175,4.3,Poor service
PK2026_0137,23-10-2026,October,Friday,Karachi,Islamabad,Domestic,Airbus A320,280,148,180,82.22,685,101380,221,,Severe,Delayed,Fog,3138,7845,2.9,Good experience
PK2026_0138,04-11-2026,November,Wednesday,Karachi,Islamabad,Domestic,ATR 72,110,40,70,57.14,284,11360,115,,Moderate,Delayed,Storm,9890,24725,3.5,Average flight
PK2026_0139,21-06-2026,June,Sunday,Jeddah,Dubai,International,ATR 72,314,47,70,67.14,998,46906,157,,Severe,Delayed,Storm,15363,38407.5,4.6,Good experience
PK2026_0140,12-08-2026,August,Wednesday,Jeddah,Doha,International,ATR 72,447,67,70,95.71,1363,91321,143,,Severe,Delayed,Fog,19671,49177.5,3,Excellent service
PK2026_0141,12-01-2026,January,Monday,Karachi,Lahore,Domestic,Airbus A320,211,158,180,87.78,128,20224,25,,Minor,Delayed,Rain,11038,27595,3.2,Excellent service
PK2026_0142,21-10-2026,October,Wednesday,Lahore,Kuala Lumpur,International,ATR 72,432,47,70,67.14,1365,64155,44,,Moderate,Delayed,Storm,13415,33537.5,4.2,Poor service
PK2026_0143,26-01-2026,January,Monday,Dubai,Lahore,International,ATR 72,303,38,70,54.29,905,34390,91,,Moderate,Delayed,Storm,7964,19910,4.6,Excellent service
PK2026_0144,17-08-2026,August,Monday,Jeddah,Dubai,International,ATR 72,236,47,70,67.14,258,12126,173,,Severe,Delayed,Rain,7802,19505,4.8,Very smooth journey
PK2026_0145,16-03-2026,March,Monday,Lahore,Jeddah,International,Airbus A320,468,132,180,73.33,666,87912,17,,Minor,Delayed,Storm,4746,11865,4.5,Very smooth journey
PK2026_0146,13-10-2026,October,Tuesday,Karachi,Kuala Lumpur,International,ATR 72,97,58,70,82.86,1373,79634,180,,Severe,Delayed,Storm,19478,48695,3.5,Very smooth journey
PK2026_0147,27-12-2026,December,Sunday,Kuala Lumpur,Jeddah,International,Airbus A320,180,116,180,64.44,635,73660,210,,Severe,Delayed,Storm,9145,22862.5,4.7,Poor service
PK2026_0148,04-06-2026,June,Thursday,London,Doha,International,Airbus A320,231,114,180,63.33,900,102600,62,,Moderate,Delayed,Rain,19221,48052.5,4.8,Delayed but comfortable
PK2026_0149,06-09-2026,September,Sunday,London,Islamabad,International,Boeing 737,356,137,160,85.62,202,27674,61,,Moderate,Delayed,Storm,16442,41105,4.1,Average flight
PK2026_0150,23-05-2026,May,Saturday,Dubai,Karachi,International,Airbus A320,103,120,180,66.67,1213,145560,74,,Moderate,Delayed,Rain,12828,32070,4.3,Poor service
PK2026_0151,09-03-2026,March,Monday,London,Karachi,International,Airbus A320,442,91,180,50.56,767,69797,148,,Severe,Delayed,Fog,19930,49825,4.1,Excellent service
